chunk_id,source_document,disease_category,chunk_text,chunk_index
PROTO-0001,MOHFW_Snakebite_Guidelines_2024,Snakebite,"SNAKEBITE FIRST AID: 1. Reassure and immobilize the patient. Keep the bitten limb below heart level. 2. Do NOT apply tourniquet, do NOT cut the wound, do NOT suck the venom. 3. Remove rings, watches, tight clothing from bitten limb. 4. Transport patient to nearest health facility with Anti-Snake Venom (ASV) immediately. 5. Note the time of bite and description of snake if possible.",0
PROTO-0002,MOHFW_Snakebite_Guidelines_2024,Snakebite,"ASV ADMINISTRATION: Polyvalent Anti-Snake Venom is effective against Big Four: Cobra, Krait, Russell's Viper, Saw-scaled Viper. Dose: Start with 10 vials (100ml) ASV diluted in Normal Saline, IV infusion over 1 hour. Premedicate with Adrenaline 0.25mg SC, Hydrocortisone 200mg IV, and Chlorpheniramine 10mg IV. Watch for anaphylaxis. If signs of envenomation persist after 1-2 hours, repeat 10 vials.",1
PROTO-0003,MOHFW_Snakebite_Guidelines_2024,Snakebite,"SIGNS OF ENVENOMATION - HEMOTOXIC (Viper): Local swelling progressing beyond bite site, bleeding from gums/injection sites, blood in urine, blood not clotting (20 Minute Whole Blood Clotting Test - 20WBCT). NEUROTOXIC (Krait/Cobra): Ptosis (drooping eyelids), difficulty swallowing, respiratory paralysis. If respiratory failure: intubate and ventilate, refer to ICU immediately.",2
PROTO-0004,MOHFW_Snakebite_Guidelines_2024,Snakebite,REFERRAL CRITERIA FOR SNAKEBITE: Refer to District Hospital if: 1. ASV not available at PHC. 2. Signs of severe envenomation. 3. Respiratory difficulty. 4. Patient needs ventilator support. 5. 20WBCT positive after 2 doses of ASV. WARNING: Do not delay ASV for referral. Give first dose before transport if available.,3
PROTO-0005,MOHFW_Dengue_Guidelines_2024,Dengue Fever,"DENGUE CLASSIFICATION: Group A (OPD): Fever with 2+ of: headache, retro-orbital pain, myalgia, arthralgia, rash, leukopenia+. No warning signs. Oral fluids, Paracetamol (NOT aspirin/ibuprofen), daily platelet monitoring. Group B (Admit): Warning signs present - abdominal pain, persistent vomiting, fluid accumulation, mucosal bleeding, lethargy, hepatomegaly, rising hematocrit with falling platelets.",4
PROTO-0006,MOHFW_Dengue_Guidelines_2024,Dengue Fever,"DENGUE GROUP C (Severe - ICU): Severe plasma leakage with shock (DSS), severe bleeding, severe organ impairment (liver AST/ALT >=1000, CNS impairment, heart failure). FLUID MANAGEMENT: Start with NS/RL at 5-7 ml/kg/hr for 1-2 hours. Reduce to 3-5 ml/kg/hr for 2-4 hours. Reduce to 2-3 ml/kg/hr. Adjust based on hematocrit and urine output (0.5 ml/kg/hr target).",5
PROTO-0007,MOHFW_Dengue_Guidelines_2024,Dengue Fever,"DENGUE DIAGNOSIS: NS1 Antigen test: Positive in first 5 days of fever. After Day 5: IgM ELISA (current infection), IgG (past/secondary). WARNING SIGNS requiring hospitalization: Abdominal pain or tenderness, persistent vomiting, clinical fluid accumulation, mucosal bleed, lethargy/restlessness, liver enlargement >2cm, lab: increase in HCT concurrent with rapid decrease in platelet count.",6
PROTO-0008,MOHFW_Dengue_Guidelines_2024,Dengue Fever,"DENGUE: DO NOT GIVE ASPIRIN OR NSAIDS (Ibuprofen, Diclofenac). These increase bleeding risk. Use only PARACETAMOL for fever (10-15 mg/kg/dose every 4-6 hours). Tepid sponging for high fever. Oral rehydration is key. Platelet transfusion only if: active bleeding with platelets <10,000 OR planned procedure with platelets <50,000. Prophylactic platelet transfusion is NOT recommended.",7
PROTO-0009,MOHFW_Malaria_Guidelines_2024,Malaria,"MALARIA DIAGNOSIS: Use RDT (Rapid Diagnostic Test) or microscopy. RDT detects Pf (P. falciparum) HRP2 and Pv (P. vivax) pLDH. All fever cases in endemic areas should be tested. TREATMENT P. vivax: Chloroquine 25mg/kg over 3 days (Day 1: 10mg/kg, Day 2: 10mg/kg, Day 3: 5mg/kg) + Primaquine 0.25mg/kg daily for 14 days (anti-relapse). Check G6PD before Primaquine.",8
PROTO-0010,MOHFW_Malaria_Guidelines_2024,Malaria,"SEVERE MALARIA (P. falciparum): Signs: cerebral malaria (altered consciousness), severe anemia (Hb<5g/dl), respiratory distress, hypoglycemia, shock, DIC, renal failure. TREATMENT: Artesunate IV/IM: 2.4 mg/kg at 0, 12, 24 hours, then daily. Minimum 3 doses before switching to oral ACT. If Artesunate unavailable: Quinine IV 20mg/kg loading dose in 5% dextrose over 4 hours, then 10mg/kg every 8 hours.",9
